seq_id,ligand_region,n_frames,window_start_ns,window_end_ns,gate_bridge_occupancy,latch_bridge_occupancy,co_occurrence_occupancy,triple_bridge_occupancy,mean_n_triple_bridge_waters,first_appearance_ns,n_runs,n_distinct_waters,mean_run_duration_ns,median_run_duration_ns,seq_type
nonb_047_nb,core,1334,0.0,500.0,0.6597,0.2826,0.2774,0.2729,0.3178,1.5,15,66,9.1,1.125,False Positive
nonb_048_nb,core,1334,0.0,500.0,0.7489,0.7804,0.6357,0.4198,0.467,4.5,220,337,0.9545,0.375,False Positive
nonb_049_nb,core,1334,0.0,500.0,0.3996,0.8448,0.3741,0.3058,0.3771,1.5,148,256,1.0338,0.75,False Positive
nonb_050_nb,core,1334,0.0,500.0,0.7339,0.9198,0.6717,0.2466,0.2691,0.0,227,218,0.5435,0.375,False Positive
nonb_051_nb,core,1334,0.0,500.0,0.4595,0.6792,0.3756,0.2841,0.3298,2.25,130,195,1.0933,0.75,False Positive
nonb_052_nb,core,1334,0.0,500.0,0.7511,0.931,0.7129,0.494,0.5352,0.375,240,595,1.0297,0.75,False Positive
nonb_053_nb,core,1334,0.0,500.0,0.5262,0.8808,0.4475,0.2759,0.2961,0.0,246,347,0.561,0.375,False Positive
nonb_054_nb,core,1334,0.0,500.0,0.9258,0.8306,0.7661,0.3688,0.3943,0.0,267,451,0.691,0.375,False Positive
nonb_056_nb,core,1334,0.0,500.0,0.5532,0.8913,0.4828,0.3036,0.3441,0.0,250,386,0.6075,0.375,False Positive
nonb_066_nb,core,1334,0.0,500.0,0.5682,0.8298,0.5255,0.4093,0.4565,0.0,98,186,2.0893,0.75,False Positive
nonb_067_nb,core,1334,0.0,500.0,0.1702,0.9655,0.1634,0.1267,0.1417,1.125,107,148,0.5923,0.375,False Positive
nonb_068_nb,core,1334,0.0,500.0,0.3366,0.7954,0.3066,0.1987,0.2046,53.625,159,214,0.625,0.375,False Positive
nonb_071_nb,core,1334,0.0,500.0,0.6469,0.5952,0.5172,0.4798,0.5472,0.0,109,258,2.2018,0.75,False Positive
nonb_072_nb,core,1334,0.0,500.0,0.3598,0.9003,0.3351,0.2114,0.2339,3.375,191,252,0.5537,0.375,False Positive
nonb_073_nb,core,1334,0.0,500.0,0.3748,0.0967,0.081,0.075,0.084,0.0,43,36,0.8721,0.375,False Positive
nonb_074_nb,core,1334,0.0,500.0,0.3988,0.0997,0.063,0.036,0.0375,1.125,13,18,1.3846,0.375,False Positive
nonb_075_nb,core,1334,0.0,500.0,0.5375,0.3801,0.3463,0.2639,0.2901,0.0,212,335,0.6226,0.375,False Positive
nonb_080_nb,core,1334,0.0,500.0,0.2699,0.928,0.2586,0.2159,0.2429,0.75,96,117,1.125,0.75,False Positive
nonb_081_nb,core,1334,0.0,500.0,0.6724,0.9595,0.6499,0.2669,0.2976,0.375,160,152,0.8344,0.375,False Positive
nonb_082_nb,core,1334,0.0,500.0,0.7076,0.7549,0.5907,0.4798,0.6694,0.0,150,520,1.6,0.75,False Positive
nonb_085_nb,core,1334,0.0,500.0,0.6297,0.8838,0.5765,0.443,0.4948,0.375,247,478,0.8973,0.375,False Positive
nonb_086_nb,core,1334,0.0,500.0,0.081,0.9783,0.081,0.0397,0.0412,108.75,39,50,0.5096,0.375,False Positive
nonb_087_nb,core,1334,0.0,500.0,0.6822,0.3261,0.2894,0.2324,0.2804,0.75,51,145,2.2794,0.375,False Positive
nonb_088_nb,core,1334,0.0,500.0,0.6477,0.4025,0.3156,0.2084,0.2204,0.0,180,92,0.5792,0.375,False Positive
nonb_089_nb,core,1334,0.0,500.0,0.5352,0.9535,0.5172,0.3103,0.3906,0.375,180,297,0.8625,0.375,False Positive
nonb_115_nb,core,1334,0.0,500.0,0.3088,0.9018,0.2916,0.2099,0.2256,0.75,180,237,0.5833,0.375,False Positive
nonb_116_nb,core,1334,0.0,500.0,0.515,0.9483,0.4933,0.2376,0.2601,0.0,205,319,0.5799,0.375,False Positive
nonb_117_nb,core,1334,0.0,500.0,0.2234,0.2219,0.1777,0.1627,0.1642,0.0,49,45,1.6607,0.375,False Positive
pair_0091_nb,core,1334,0.0,500.0,0.47,0.2369,0.1709,0.1102,0.1154,0.0,103,123,0.5352,0.375,False Positive
pair_0272_nb,core,1334,0.0,500.0,0.045,0.9363,0.045,0.0345,0.0345,0.0,43,46,0.4012,0.375,False Positive
pair_0482_nb,core,1334,0.0,500.0,0.5892,0.8996,0.5345,0.1634,0.1762,3.375,153,203,0.5343,0.375,False Positive
pair_0506_nb,core,1334,0.0,500.0,0.4378,0.9093,0.4258,0.3906,0.3996,0.375,254,142,0.7692,0.375,False Positive
pair_0567_nb,core,1334,0.0,500.0,0.1972,0.6672,0.1619,0.1139,0.1177,0.375,100,113,0.57,0.375,False Positive
pair_0736_nb,core,1334,0.0,500.0,0.1567,0.2684,0.069,0.057,0.0577,1.875,49,53,0.5816,0.375,False Positive
pair_0782_nb,core,1334,0.0,500.0,0.3613,0.5285,0.2774,0.1732,0.2001,27.75,150,249,0.5775,0.375,False Positive
pair_0811_nb,core,1334,0.0,500.0,0.2714,0.2991,0.2016,0.1844,0.1897,1.5,119,155,0.7752,0.375,False Positive
pair_0822_nb,core,1334,0.0,500.0,0.5622,0.946,0.536,0.3523,0.4093,0.375,238,360,0.7405,0.375,False Positive
pair_1654_nb,core,1334,0.0,500.0,0.7144,0.8696,0.6837,0.6177,0.7354,1.125,238,453,1.2983,0.75,False Positive
cdca_001_binder,core,1334,0.0,500.0,0.5975,0.8321,0.5877,0.5697,0.6687,0.375,162,163,1.7593,0.75,Binder
glca_001_binder,core,1334,0.0,500.0,0.0217,0.078,0.015,0.0142,0.0142,75.0,10,8,0.7125,0.375,Binder
lca3s_001_binder,core,1334,0.0,500.0,0.8456,0.9483,0.8163,0.6424,0.7766,0.0,201,931,1.5989,0.75,Binder
lca_001_binder,core,1334,0.0,500.0,0.2226,0.2796,0.1799,0.1552,0.1694,223.875,101,61,0.7686,0.375,Binder
pair_0008_low_pkt,core,1334,0.0,500.0,0.4678,0.9513,0.4543,0.1897,0.2024,0.0,184,229,0.5156,0.375,Low Confidence
pair_0065_low_pkt,core,1334,0.0,500.0,0.5645,0.8636,0.5172,0.4475,0.494,0.375,238,296,0.9407,0.75,Low Confidence
pair_0393_low_pkt,core,1334,0.0,500.0,0.8283,0.6822,0.5772,0.3148,0.3621,0.0,220,419,0.7159,0.375,Low Confidence
pair_0482_low_pkt,core,1334,0.0,500.0,0.6612,0.9175,0.6327,0.4933,0.5967,0.375,238,552,1.0368,0.375,Low Confidence
pair_0947_low_pkt,core,1334,0.0,500.0,0.7219,0.7819,0.5502,0.4693,0.5105,5.625,284,74,0.8266,0.375,Low Confidence
pair_0948_low_pkt,core,1334,0.0,500.0,0.5652,0.913,0.533,0.3793,0.4018,2.25,243,284,0.7809,0.375,Low Confidence
pair_1331_low_pkt,core,1334,0.0,500.0,0.5622,0.8531,0.5225,0.3328,0.3823,0.375,186,316,0.8952,0.375,Low Confidence
pair_1413_low_pkt,core,1334,0.0,500.0,0.6349,0.8531,0.533,0.2054,0.2324,3.0,184,266,0.5584,0.375,Low Confidence
pair_1931_low_pkt,core,1334,0.0,500.0,0.7564,0.5307,0.434,0.2654,0.2781,0.0,250,242,0.531,0.375,Low Confidence
pair_0014_fail_gate,core,1334,0.0,500.0,0.7271,0.8951,0.6612,0.2984,0.3636,0.0,171,349,0.8728,0.375,Fail Geometry
pair_0263_fail_gate,core,1334,0.0,500.0,0.464,0.7789,0.3726,0.1544,0.1829,1.125,130,177,0.5942,0.375,Fail Geometry
pair_0540_fail_gate,core,1334,0.0,500.0,0.521,0.8501,0.4805,0.4205,0.4603,19.125,251,222,0.8381,0.375,Fail Geometry
pair_0715_fail_gate,core,1334,0.0,500.0,0.8298,0.8793,0.7909,0.569,0.7024,1.5,290,761,0.9815,0.75,Fail Geometry
pair_0997_fail_gate,core,1334,0.0,500.0,0.7721,0.9745,0.7571,0.5532,0.6844,0.0,288,781,0.9609,0.75,Fail Geometry
pair_1094_fail_gate,core,1334,0.0,500.0,0.7759,0.9138,0.7174,0.4483,0.5157,1.5,276,506,0.8125,0.375,Fail Geometry
pair_1682_fail_gate,core,1334,0.0,500.0,0.7916,0.9288,0.7466,0.4033,0.4603,0.0,270,442,0.7472,0.375,Fail Geometry
pair_1739_fail_gate,core,1334,0.0,500.0,0.0832,0.0037,0.0022,0.0022,0.0022,86.25,3,3,0.375,0.375,Fail Geometry
pair_1745_fail_gate,core,1334,0.0,500.0,0.7301,0.6867,0.5952,0.5487,0.566,18.75,203,205,1.3522,0.75,Fail Geometry
pair_1941_fail_gate,core,1334,0.0,500.0,0.4663,0.2196,0.1979,0.1724,0.1747,22.5,165,54,0.5227,0.375,Fail Geometry
