name,Group,Label,D_58,W_58,D_59,W_59,D_62,W_62,D_83,W_83,D_87,W_87,D_88,W_88,D_89,W_89,D_92,W_92,D_110,W_110,D_115,W_115,D_116,W_116,D_117,W_117,D_120,W_120,D_122,W_122,D_159,W_159,D_160,W_160,D_163,W_163,D_164,W_164,mean_n_neg_charged,std_n_neg_charged,occ_n_neg_charged_gt0,Y23 RMSF (A),R79 RMSF (A),I110 RMSF (A),G163 RMSF (A),Gate (r84-90) mean (A),Gate (r84-90) SD (A),Gate RMSD mean (A),Gate RMSD SD (A),Gate drift100 (A),Gate slope (A/ns),Latch RMSD mean (A),Latch RMSD SD (A),Latch drift100 (A),Latch slope (A/ns),max_saltbridge_occupancy_pct,n_saltbridges_gt50pct,mean_top3_occupancy_pct,delta_D_58,delta_W_58,delta_D_59,delta_W_59,delta_D_62,delta_W_62,delta_D_83,delta_W_83,delta_D_87,delta_W_87,delta_D_88,delta_W_88,delta_D_89,delta_W_89,delta_D_92,delta_W_92,delta_D_110,delta_W_110,delta_D_115,delta_W_115,delta_D_116,delta_W_116,delta_D_117,delta_W_117,delta_D_120,delta_W_120,delta_D_122,delta_W_122,delta_D_159,delta_W_159,delta_D_160,delta_W_160,delta_D_163,delta_W_163,delta_D_164,delta_W_164,hydration_count_pocket_4A_mean,hydration_count_pocket_4A_std,hydration_count_pocket_4A_min,hydration_count_pocket_4A_max,hydration_count_pocket_4A_early20_mean,hydration_count_pocket_4A_late20_mean,hydration_count_pocket_4A_drift20,hydration_count_pocket_4A_slope,hydration_count_pocket_4A_slope_per_ns,gate_bridge_occupancy,triple_bridge_occupancy,mean_n_triple_bridge_waters,co_occurrence_occupancy,mean_run_duration_ns
pair_3098_binder,Binder,1,0.7017,0.8688,0.2274,0.0929,0.1646,0.0848,0.3619,0.0008,0.3219,0.2282,0.4311,0.5452,0.3928,0.1508,0.546,0.1907,0.1304,0.1361,0.154,0.3227,0.1369,0.4214,0.5281,0.3488,0.9356,0.0888,0.6544,0.3219,0.7571,0.6129,0.2747,0.053,0.5901,0.3553,0.15,0.0367,0.0048096519116328,0.0691846743153551,0.0048096519116328,2.396,1.353,0.83,2.313,0.35357,0.06343,1.5859,0.6169,-0.0604,-0.000426,1.9424,0.4539,0.8414,0.002239,94.38,1,36.85,-0.7017,-0.868,-0.15000000000000002,-0.0856,-0.11240000000000001,-0.0783,0.33,0.0,0.3219,0.2282,0.4311,0.5452,0.3928,0.1508,0.4727,-0.0571,0.07089999999999999,-0.0847,0.154,0.3227,0.1369,0.4214,0.5281,0.3488,-0.2632,-0.0449,-0.6544,-0.32030000000000003,0.7571,0.6129,0.2347,0.0514,0.5689,0.352,-0.028499999999999998,-0.008900000000000002,70.27791361043195,5.900715596157307,52.0,90.0,66.4938775510204,73.45714285714286,6.963265306122452,7.653162157641981,0.016646355970945,0.7196,0.3913,0.4543,0.491,1.0639
pair_3059_nb,False Positive,0,0.022,0.6675,0.5045,0.0497,0.7865,0.0179,0.4784,0.0049,0.3162,0.4303,0.2078,0.6055,0.6381,0.4434,0.6121,0.1548,0.0244,0.2698,0.5518,0.4295,0.0,0.2755,0.0619,0.3904,0.445,0.0579,0.9698,0.9348,0.009,0.3366,0.0,0.0,0.4833,0.6642,0.89,0.141,0.805983533056167,0.4114051072589771,0.7995434906660145,1.081,0.638,1.086,1.538,0.396,0.08626,2.8842,0.6903,0.4102,0.000826,1.5826,0.463,0.4456,0.001156,89.65,2,58.59,-0.022,-0.6675,-0.4368,-0.0456,0.7865,0.0008000000000000004,0.4784,0.0049,0.3162,0.4303,0.2078,0.6055,0.6381,0.4434,0.6121,0.1548,0.0244,0.2698,0.5518,0.4295,0.0,0.2755,0.0619,0.3904,0.445,0.0579,-0.10929999999999995,-0.714,0.009,0.3366,0.0,0.0,0.3472,0.6642,0.25749999999999995,-0.1304,80.64303178484107,5.896530268801193,61.0,101.0,81.3061224489796,82.0,0.6938775510204067,0.2248990546578215,0.0004891768453677,0.8816,0.2999,0.3553,0.5622,0.7353
pair_3061_binder,Binder,1,0.5077,0.9356,0.8231,0.3423,0.009,0.035,0.7278,0.0481,0.2323,0.0081,0.2836,0.5297,0.2461,0.1035,0.643,0.1638,0.3056,0.1141,0.7172,0.6536,0.0171,0.6879,0.2445,0.5754,0.6333,0.0285,0.6724,0.9625,0.9275,0.7237,0.1394,0.0016,0.9535,0.1736,0.3659,0.0497,0.0006521561914078,0.0255290204220579,0.0006521561914078,1.0,0.79,0.694,1.088,0.34843,0.05943,1.2727,0.4745,-0.1067,-0.000353,1.956,0.3955,0.2246,0.000834,0.0,0,0.0,-0.489,-0.9087,0.45480000000000004,-0.28850000000000003,0.009,0.0253,0.7278,0.0481,0.2323,0.0081,0.2795,0.4734999999999999,0.2355,0.1011,0.643,0.15159999999999998,0.3056,0.039099999999999996,0.40099999999999997,0.18180000000000007,0.016300000000000002,0.176,-0.0464,0.13369999999999993,0.6333,0.0179,-0.5778,-0.6895,0.5851,0.3789,0.128,0.0008,0.9038,0.1736,0.3105,-0.0359,70.02526487367564,5.098717162030376,52.0,84.0,70.13469387755102,70.6938775510204,0.5591836734693914,2.0270780405055624,0.0044090876356836,0.5795,0.2286,0.2601,0.4918,0.6611
pair_3062_binder,Binder,1,0.1092,0.8337,0.7335,0.1418,0.0978,0.0839,0.7669,0.0139,0.2844,0.0236,0.2347,0.2111,0.3896,0.4588,0.7221,0.5689,0.0807,0.4034,0.5966,0.7107,0.1948,0.2315,0.5746,0.5681,0.6194,0.1434,0.6243,0.5232,0.7099,0.1443,0.5338,0.035,0.3676,0.0432,0.1614,0.0122,0.0970082334719165,0.2965193319267373,0.0968451944240645,1.786,0.679,0.609,0.916,0.28986,0.03864,1.5067,0.4687,0.1669,0.000459,3.182,1.0192,1.51,0.004866,93.76,2,60.23,-0.1092,-0.8337,0.43190000000000006,-0.10189999999999999,0.0798,0.0326,0.7669,0.0139,0.2844,0.0236,0.2347,0.2111,0.3896,0.4588,0.7221,0.5142,0.0537,0.27390000000000003,0.5966,0.7107,0.1948,0.2315,0.5746,0.5681,0.46130000000000004,0.11980000000000002,-0.6243,-0.5224,0.7099,0.1443,0.5004000000000001,0.035,0.361,0.0424,-0.1247,-0.0122,68.67970660146699,6.160917694741804,48.0,87.0,63.285714285714285,70.43673469387755,7.151020408163269,6.234264871020923,0.013560119349692,0.6537,0.4768,0.5345,0.6259,0.9617
pair_3063_binder,Binder,1,0.6716,0.7392,0.1019,0.132,0.1263,0.1899,0.511,0.0049,0.357,0.11,0.6496,0.6381,0.3602,0.304,0.498,0.1385,0.0155,0.1174,0.057,0.4442,0.0774,0.5159,0.6683,0.6536,0.2453,0.0758,0.5632,0.3782,0.687,0.5509,0.8223,0.1369,0.3113,0.251,0.3586,0.1328,0.1186109073123013,0.323330109916868,0.1186109073123013,1.65,1.269,0.991,2.06,0.35171,0.06673,2.0167,0.7749,0.604,0.002334,1.608,0.4141,-0.1316,-0.000149,71.86,2,54.95,-0.6716,-0.6748,-0.0538,-0.0627,0.1239,0.04639999999999998,0.511,0.0049,0.357,0.11,0.6496,0.6381,0.3602,0.304,0.49470000000000003,0.0912,-0.0073,-0.0929,0.057,0.4442,0.0774,0.5159,0.6683,0.6536,0.1703,-0.0537,-0.5632,-0.3684,0.687,0.5509,0.7563,0.1264,0.3113,0.251,-0.1288,-0.1019,64.66259168704157,7.003102872575518,45.0,83.0,58.35918367346939,70.08571428571429,11.7265306122449,15.15672610562028,0.0329673216000441,0.7399,0.5975,0.6814,0.6582,2.2139
pair_3066_binder,Binder,1,0.2078,0.7368,0.4222,0.3236,0.0473,0.185,0.5477,0.0228,0.3725,0.1206,0.6039,0.5941,0.4784,0.379,0.5077,0.2926,0.0041,0.0538,0.2469,0.6072,0.3765,0.7751,0.621,0.7229,0.2763,0.1076,0.6724,0.489,0.6438,0.4523,0.7278,0.0505,0.1133,0.2192,0.4254,0.0212,0.2723567294367001,0.5029509533200061,0.2449661693975707,3.406,1.081,0.877,0.704,0.29957,0.05251,1.4123,0.5002,-0.4525,-0.001078,1.4653,0.4885,-0.4004,-0.001352,92.64,2,50.0,-0.2078,-0.7368,-0.06439999999999999,-0.2771,0.0473,-0.0204,0.5477,0.0228,0.3725,0.1206,0.6039,0.5941,0.4784,0.379,0.5028,0.18169999999999997,-0.0041,-0.0245,0.2469,0.6072,0.3765,0.7751,0.621,0.7229,0.13939999999999997,-0.0334,-0.6724,-0.489,0.6438,0.4523,0.6863,0.0489,0.1133,0.2192,-0.4009,-0.010599999999999998,66.18907905460473,5.701208329246815,49.0,85.0,65.31428571428572,67.26938775510204,1.955102040816328,3.846547151629064,0.0083666060938098,0.7474,0.6259,0.7496,0.7166,2.6094
pair_3067_binder,Binder,1,0.1312,0.643,0.5371,0.524,0.3382,0.1883,0.5762,0.0269,0.2689,0.1899,0.4768,0.6161,0.4678,0.3227,0.6585,0.3716,0.2282,0.0791,0.2437,0.5297,0.0481,0.5485,0.2339,0.502,0.5884,0.0562,0.7604,0.4588,0.6121,0.5664,0.5949,0.0994,0.2641,0.2755,0.8989,0.1149,0.400749979620119,0.5166118826569078,0.3873807776962582,1.958,0.994,0.835,0.782,0.47586,0.13031,1.5454,0.4649,-0.0196,0.000129,1.6806,0.5107,0.4647,0.000918,93.43,1,47.72,-0.1312,-0.643,-0.21999999999999997,-0.5077,0.009800000000000003,-0.1703,0.5754,0.0245,0.2689,0.1899,0.4768,0.6161,0.4678,0.3227,0.5094000000000001,-0.048100000000000004,-0.2233,-0.055400000000000005,0.2437,0.5297,0.0481,0.5485,0.2339,0.502,0.432,-0.004100000000000006,-0.7604,-0.4376,0.6121,0.5664,0.5949,0.0994,0.2641,0.2755,-0.20779999999999998,-0.0611,67.7644661776691,6.231144710671971,50.0,89.0,63.49795918367347,67.5265306122449,4.028571428571425,6.701990235977156,0.0145774665274109,0.8028,0.5885,0.7114,0.7061,1.3142
pair_3068_binder,Binder,1,0.013,0.7474,0.4059,0.5876,0.2437,0.2518,0.6349,0.0285,0.383,0.1092,0.6275,0.5778,0.3871,0.4531,0.4051,0.4393,0.0081,0.2665,0.1801,0.6528,0.4727,0.8386,0.5444,0.7563,0.3293,0.1125,0.7457,0.7359,0.674,0.4556,0.5974,0.0285,0.2779,0.1956,0.1769,0.0758,0.1145349311160022,0.3215169501666722,0.1135566968288905,1.601,0.777,0.955,0.677,0.37529,0.08904,1.3532,0.4959,-0.0251,-4e-05,1.4196,0.3681,-0.4207,-0.001197,91.77,1,46.48,-0.013,-0.7474,-0.216,-0.56,0.24130000000000001,0.022799999999999987,0.6349,0.0285,0.383,0.1092,0.6275,0.5778,0.3871,0.4531,0.4043,0.17689999999999997,-0.0081,-0.2306,0.1801,0.6528,0.4727,0.8386,0.5444,0.7563,0.18989999999999999,-0.0611,-0.7457,-0.7335,0.674,0.4556,0.5761999999999999,0.0236,0.2755,0.1948,-0.1663,-0.0644,68.24286878565607,6.276670891088709,45.0,90.0,65.36326530612244,72.67755102040816,7.314285714285717,10.23403391126367,0.0222599976318948,0.7661,0.6567,0.7601,0.7436,1.9671
pair_3071_binder,Binder,1,0.0538,0.8052,0.5884,0.3904,0.0603,0.0033,0.7302,0.0033,0.3635,0.0807,0.6577,0.7327,0.383,0.5289,0.6153,0.1548,0.0139,0.0114,0.172,0.7278,0.273,0.8582,0.5827,0.8199,0.2339,0.0318,0.6292,0.5053,0.6316,0.4751,0.7156,0.0505,0.1174,0.1785,0.0342,0.0114,0.3896633243661857,0.4998906956036724,0.3836308795956631,1.081,0.662,0.717,0.816,0.34414,0.05848,1.1199,0.461,0.2383,0.000269,1.2528,0.3517,0.1936,0.000337,91.34,2,59.94,-0.0538,-0.8044,0.0726,-0.3717,0.0603,-0.0017,0.7302,0.0033,0.3635,0.0807,0.6577,0.7327,0.383,0.5289,0.6080000000000001,0.1532,-0.0139,0.0114,0.172,0.7278,0.273,0.8582,0.5827,0.8199,0.1605,0.0302,-0.6292,-0.502,0.6316,0.4751,0.7156,0.048900000000000006,0.1174,0.1785,-0.0342,-0.0073,64.52567237163814,5.3460480052925785,47.0,82.0,63.69795918367347,66.05714285714286,2.359183673469396,1.5980742734722797,0.0034759636182105,0.8576,0.8141,0.9355,0.8486,4.2422
pair_3072_binder,Binder,1,0.3382,0.837,0.0407,0.4124,0.2469,0.3659,0.5338,0.0782,0.3545,0.1883,0.4808,0.4898,0.4523,0.2787,0.6626,0.357,0.4344,0.0399,0.48,0.5477,0.0318,0.291,0.1671,0.291,0.4874,0.0269,0.5224,0.5216,0.6455,0.4572,0.6227,0.1304,0.3513,0.2551,0.925,0.3945,0.4418358196788131,0.513075931036006,0.4335208282383631,3.258,0.582,0.66,0.589,0.31814,0.05125,1.9273,0.798,0.7936,0.002893,1.8456,0.5533,0.3348,0.001218,57.23,2,36.63,-0.3382,-0.8077,-0.0269,-0.22080000000000002,0.1768,-0.024399999999999977,0.5338,0.0742,0.3545,0.1883,0.4808,0.4898,0.4523,0.2787,0.5517,0.20450000000000002,-0.2812,0.0007999999999999986,0.48,0.5468999999999999,0.0318,0.291,0.1671,0.29019999999999996,0.27790000000000004,0.014699999999999998,-0.5224,-0.5061,0.6455,0.4572,0.6056,0.1304,0.34959999999999997,0.24860000000000002,0.21189999999999998,-0.25020000000000003,71.10268948655256,6.694951882181259,50.0,93.0,68.28979591836735,67.06122448979592,-1.2285714285714278,-1.081775682326799,-0.0023529650512817,0.7234,0.4603,0.5705,0.5547,1.1688
pair_3073_binder,Binder,1,0.0196,0.2567,0.511,0.8183,0.392,0.2763,0.3562,0.0057,0.3252,0.1834,0.2543,0.4482,0.4262,0.0179,0.793,0.3749,0.2934,0.0994,0.2901,0.4002,0.0057,0.3643,0.3888,0.3333,0.9682,0.5958,0.846,0.3358,0.74,0.824,0.414,0.467,0.0685,0.6341,0.0179,0.5192,0.0195646857422352,0.138498768276266,0.0195646857422352,1.054,0.769,0.88,0.606,0.30314,0.05323,1.1758,0.382,-0.4004,-0.001023,1.7653,0.3939,0.2529,0.000729,93.39,1,32.49,-0.0196,-0.2567,-0.511,-0.8175,-0.3725,-0.2722,0.3562,0.0057,0.3252,0.1834,0.2543,0.4482,0.4262,0.0179,0.5493,-0.3341,0.128,-0.0563,0.2901,0.4002,0.0057,0.3643,0.3888,0.3333,-0.08879999999999999,-0.3161999999999999,-0.846,-0.3162,0.74,0.8231999999999999,0.414,0.4222,0.0685,0.5786,0.014699999999999998,-0.2526,70.54523227383864,5.454131144686648,55.0,88.0,69.29387755102042,71.36734693877551,2.0734693877550967,3.289551858429632,0.0071550883271987,0.6087,0.1387,0.1522,0.3613,0.4656
