Sequence,Group,Gate (r84-90) mean (A),Gate (r84-90) SD (A),Latch (r114-118) mean (A),Latch (r114-118) SD (A),Lb7a5 (r148-155) mean (A),Lb7a5 (r148-155) SD (A),C-term helix (r154-166) mean (A),C-term helix (r154-166) SD (A)
pair_3103_binder,Binder,0.305,0.05608,0.3738,0.06842,0.747,0.15152,0.42431,0.10391
pair_3104_binder,Binder,0.31,0.04386,0.5218,0.22661,0.84062,0.14378,0.47523,0.12086
pair_3108_binder,Binder,0.31043,0.05371,0.6236,0.11464,0.7925,0.12645,0.44346,0.09847
bind_043_binder,Binder,0.29729,0.0454,0.3486,0.0696,0.93438,0.21443,0.72346,0.37487
bind_080_binder,Binder,0.35671,0.09629,0.381,0.04229,0.61425,0.12334,0.33885,0.06455
bind_069_binder,Binder,0.29371,0.05433,0.3238,0.05497,1.02938,0.31968,0.53554,0.15103
bind_076_binder,Binder,0.32171,0.05386,0.3534,0.061,0.55888,0.07564,0.36246,0.07265
bind_099_binder,Binder,0.31957,0.07311,0.2994,0.04758,0.49425,0.10136,0.47069,0.11508
bind_041_binder,Binder,0.32371,0.06099,0.4712,0.16522,0.739,0.16381,0.56385,0.16742
bind_100_binder,Binder,0.36986,0.05497,0.41,0.12601,0.56925,0.13687,0.82046,0.25487
bind_110_binder,Binder,0.35971,0.06318,0.3934,0.12401,0.61762,0.12157,0.56785,0.17882
bind_034_binder,Binder,0.31329,0.05278,0.3216,0.05701,0.36713,0.05909,0.34954,0.06511
bind_088_binder,Binder,0.49857,0.11121,0.4014,0.1141,0.6935,0.14369,0.428,0.12506
bind_102_binder,Binder,1.314,0.30488,0.5726,0.16466,0.651,0.15134,0.36231,0.1038
bind_101_binder,Binder,0.395,0.06339,0.4708,0.12704,0.68712,0.1428,0.55062,0.1849
bind_083_binder,Binder,0.34686,0.05445,0.4418,0.08556,0.55625,0.10014,0.50554,0.13638
nonb_046_nb,False Positive,0.30614,0.0576,0.3688,0.03971,0.58337,0.12994,0.75492,0.30426
nonb_017_nb,False Positive,0.30429,0.05009,0.4074,0.11745,0.69175,0.07032,0.50908,0.12781
nonb_115_nb,False Positive,0.36729,0.07388,0.4108,0.1029,1.42525,0.35409,0.55962,0.12094
nonb_086_nb,False Positive,0.423,0.11163,0.3362,0.0798,0.5725,0.12221,0.47062,0.10311
nonb_052_nb,False Positive,0.30914,0.05753,0.5056,0.2489,1.42188,0.18515,0.45008,0.11381
nonb_073_nb,False Positive,0.35514,0.09965,0.4602,0.12689,0.6905,0.11809,0.59723,0.12156
nonb_066_nb,False Positive,0.32186,0.04512,0.4406,0.08186,0.71862,0.13197,0.65754,0.14153
nonb_050_nb,False Positive,0.49929,0.16437,0.2872,0.06324,0.661,0.10558,0.409,0.08638
nonb_080_nb,False Positive,0.305,0.04128,0.271,0.05477,0.83725,0.17201,0.57908,0.16699
nonb_087_nb,False Positive,0.79229,0.44174,0.731,0.37109,0.8615,0.17154,0.40923,0.09796
nonb_053_nb,False Positive,0.34157,0.05771,0.4376,0.15621,1.08088,0.1875,0.37923,0.05529
nonb_049_nb,False Positive,0.40986,0.06841,0.3284,0.08307,0.59325,0.11446,0.28508,0.04519
nonb_048_nb,False Positive,1.10157,0.35961,0.3684,0.04174,0.625,0.111,0.508,0.16195
nonb_025_nb,False Positive,0.58729,0.08792,0.3208,0.04347,0.59975,0.06207,0.54277,0.13573
nonb_032_nb,False Positive,0.40686,0.10578,0.4736,0.18481,0.55163,0.10812,0.36485,0.10015
nonb_067_nb,False Positive,0.41957,0.0949,0.4038,0.03185,0.7975,0.18517,0.42,0.14646
nonb_081_nb,False Positive,0.47743,0.09712,0.2524,0.0342,1.20812,0.26399,0.68546,0.16159
nonb_054_nb,False Positive,0.67314,0.22316,0.3036,0.01806,1.36888,0.2877,0.30977,0.07104
nonb_013_nb,False Positive,0.501,0.12694,0.3212,0.08828,1.04262,0.27405,0.591,0.17313
nonb_072_nb,False Positive,0.50971,0.11343,0.4234,0.04133,0.61838,0.12397,0.35723,0.09697
nonb_089_nb,False Positive,0.40514,0.09794,0.595,0.13066,1.01775,0.11424,0.60377,0.17704
nonb_116_nb,False Positive,0.36886,0.07386,0.4572,0.09523,0.82263,0.12781,1.37831,0.52055
nonb_056_nb,False Positive,0.42914,0.08375,0.7034,0.29213,0.62938,0.13816,0.54538,0.16967
nonb_074_nb,False Positive,0.27314,0.04922,0.3654,0.08457,0.88675,0.15082,0.56608,0.16254
nonb_071_nb,False Positive,0.31371,0.06646,0.4414,0.07991,0.59613,0.1222,0.56231,0.1498
nonb_022_nb,False Positive,0.51457,0.12406,0.5152,0.18,1.027,0.13394,0.42792,0.07198
nonb_068_nb,False Positive,0.33771,0.06891,0.4048,0.10392,0.69675,0.15471,0.58315,0.19559
nonb_085_nb,False Positive,0.34271,0.06752,0.6928,0.196,0.66162,0.13854,0.70123,0.23376
nonb_051_nb,False Positive,0.35386,0.06136,0.395,0.08692,0.505,0.09691,0.45162,0.14366
nonb_010_nb,False Positive,0.46843,0.08701,0.6258,0.21576,0.61738,0.07366,0.58723,0.16382
nonb_014_nb,False Positive,0.41114,0.08705,0.3564,0.045,0.8355,0.22399,0.55392,0.22255
nonb_117_nb,False Positive,0.39271,0.06497,0.3522,0.09451,0.617,0.16104,0.64654,0.16834
nonb_029_nb,False Positive,0.419,0.08955,1.2246,0.60794,0.65775,0.1468,0.48254,0.1773
nonb_021_nb,False Positive,0.45371,0.10023,0.6406,0.04349,0.79912,0.15934,0.54254,0.11636
nonb_023_nb,False Positive,0.49243,0.08675,0.6882,0.29701,0.72775,0.11386,0.58462,0.14346
nonb_011_nb,False Positive,0.37286,0.07182,0.8818,0.4281,0.54138,0.11292,0.71838,0.32277
nonb_026_nb,False Positive,0.73143,0.17672,0.697,0.24309,0.59013,0.129,0.70446,0.27341
nonb_088_nb,False Positive,0.48486,0.11546,0.4142,0.12689,0.56788,0.12442,0.80538,0.27088
nonb_082_nb,False Positive,0.45443,0.14618,0.463,0.05246,0.52875,0.10864,0.60946,0.1773
nonb_075_nb,False Positive,0.99614,0.54658,0.4518,0.09081,0.56337,0.1213,0.77631,0.21317
nonb_024_nb,False Positive,0.33343,0.06943,0.7978,0.4078,0.70225,0.16081,0.413,0.10083
nonb_047_nb,False Positive,0.412,0.09724,0.3632,0.06751,0.7235,0.13743,0.44131,0.12941
nonb_018_nb,False Positive,0.479,0.10478,0.8882,0.29954,0.6605,0.1315,0.53131,0.16275
nonb_019_nb,False Positive,0.286,0.05013,0.2796,0.07024,0.63162,0.10053,0.35062,0.07409
