Sequence,Group,N frames,Gate RMSD mean (A),Gate RMSD SD (A),Gate RMSD early100 mean (A),Gate RMSD late100 mean (A),Gate drift100 (A),Gate slope (A/ns),Latch RMSD mean (A),Latch RMSD SD (A),Latch RMSD early100 mean (A),Latch RMSD late100 mean (A),Latch drift100 (A),Latch slope (A/ns),Lb7a5 RMSD mean (A),Lb7a5 RMSD SD (A),Lb7a5 RMSD early100 mean (A),Lb7a5 RMSD late100 mean (A),Lb7a5 drift100 (A),Lb7a5 slope (A/ns),Recoil RMSD mean (A),Recoil RMSD SD (A),Recoil RMSD early100 mean (A),Recoil RMSD late100 mean (A),Recoil drift100 (A),Recoil slope (A/ns),Whole RMSD mean (A),Whole RMSD SD (A),Whole RMSD early100 mean (A),Whole RMSD late100 mean (A),Whole drift100 (A),Whole slope (A/ns)
pair_3099_binder,Binder,12267,1.7991,0.7877,1.4396,2.7164,1.2768,0.003824,2.0509,0.4616,1.9364,2.1978,0.2614,0.000858,2.524,0.7965,2.4715,2.6087,0.1372,0.000407,1.2213,0.3899,1.0958,1.5322,0.4364,0.001225,1.7021,0.5219,1.2663,2.3102,1.0439,0.003193
pair_3100_binder,Binder,12267,3.1781,0.8875,3.9231,3.2399,-0.6832,-0.001855,1.9279,0.2532,2.0047,1.8306,-0.1741,-0.000346,3.0171,0.749,2.9513,3.633,0.6816,0.001059,1.9786,0.3901,1.962,2.1704,0.2084,0.000529,2.0944,0.3135,1.8333,2.357,0.5237,0.001746
pair_3101_binder,Binder,12267,1.5162,0.5926,1.2781,1.9106,0.6325,0.001554,1.8236,0.5398,1.5948,1.6808,0.086,0.000366,5.5778,0.599,5.6463,5.5285,-0.1178,0.000116,2.0101,0.4841,1.8448,2.5915,0.7468,0.001977,1.9402,0.3322,1.9061,2.369,0.4629,0.001251
pair_3103_binder,Binder,12267,1.0283,0.2937,0.9517,1.0102,0.0585,9.3e-05,1.3204,0.2933,1.2467,1.3435,0.0969,9.6e-05,2.8946,0.9009,2.859,2.8654,0.0065,-0.000413,2.0639,0.4525,1.8222,2.207,0.3847,0.00058,1.7375,0.1857,1.5229,1.8272,0.3043,0.000539
pair_3104_binder,Binder,12267,1.5702,0.5356,1.2319,1.4959,0.264,0.001097,2.3185,0.7262,1.5244,2.7423,1.218,0.003877,3.2065,1.0326,3.1264,3.7101,0.5836,0.001431,1.4412,0.3256,1.3754,1.6175,0.2421,0.00071,1.7664,0.3868,1.2866,1.9408,0.6541,0.001508
pair_3108_binder,Binder,12267,1.3589,0.5583,1.4057,1.1442,-0.2615,-0.001505,2.0165,0.6447,2.5982,1.6769,-0.9213,-0.002972,2.4722,0.8624,2.8225,2.2222,-0.6004,-0.001372,1.4305,0.3835,1.762,1.284,-0.478,-0.001108,1.6324,0.1771,1.6976,1.5317,-0.1659,-0.000498
bind_043_binder,Binder,12267,0.9202,0.2992,1.0346,0.8763,-0.1583,-0.000357,1.4229,0.2486,1.3892,1.3268,-0.0624,1e-05,2.5166,0.8968,2.8804,2.2468,-0.6336,-0.001349,1.626,0.3053,1.7182,1.5732,-0.145,-0.000275,1.3129,0.1512,1.3985,1.2998,-0.0987,-0.000196
bind_080_binder,Binder,12267,1.3246,0.4682,1.0146,1.6072,0.5926,0.001292,1.4606,0.3258,1.287,1.5676,0.2806,0.000859,4.0274,1.1323,3.5901,3.6498,0.0597,-0.000299,2.2688,0.4288,2.1317,2.1068,-0.025,-0.000127,1.5003,0.1597,1.4284,1.4678,0.0394,2.4e-05
bind_069_binder,Binder,12267,1.3983,0.4986,1.3039,1.7759,0.472,0.001088,2.2746,1.3285,1.201,3.5333,2.3323,0.005804,2.7981,1.0254,3.3316,2.2852,-1.0464,-0.001676,1.6245,0.4653,1.9065,1.1687,-0.7378,-0.00171,1.6284,0.1902,1.6817,1.7159,0.0343,2e-05
bind_076_binder,Binder,12267,2.169,0.6234,1.6485,2.4645,0.816,0.002253,2.9886,0.7885,2.6572,3.0778,0.4205,0.002186,2.3703,0.7256,2.2568,2.71,0.4532,0.001492,1.4834,0.3688,1.47,1.5721,0.102,0.000166,1.7769,0.2715,1.583,2.038,0.4549,0.001357
bind_099_binder,Binder,12267,1.5711,0.5546,1.8585,1.154,-0.7045,-0.002314,1.4846,0.3711,1.5262,1.3729,-0.1533,-0.000425,2.5307,0.8583,2.5826,2.0709,-0.5118,-0.001146,1.5856,0.4294,1.8595,1.4099,-0.4495,-0.001271,1.7898,0.2655,1.5917,1.9245,0.3327,0.000696
bind_041_binder,Binder,12267,2.1725,0.8276,1.1448,2.7207,1.5759,0.004018,2.6105,0.9058,2.0266,3.261,1.2344,0.0042,2.1746,0.8576,2.0912,2.6433,0.5522,0.000478,1.3883,0.3344,1.2028,1.6811,0.4784,0.000965,1.7114,0.2345,1.4982,1.8542,0.3559,0.000727
bind_100_binder,Binder,12267,1.3012,0.429,1.3374,1.2524,-0.0851,-0.000376,1.5392,0.402,1.3513,1.7419,0.3906,0.001067,1.9601,0.8378,1.9717,1.8271,-0.1446,-0.000314,1.7968,0.3268,1.8424,1.7863,-0.0561,-7e-05,1.3454,0.1495,1.3125,1.3998,0.0873,0.000181
bind_110_binder,Binder,12267,2.4005,0.669,1.8203,2.8154,0.9951,0.003084,2.0217,0.6721,1.1971,2.0597,0.8626,0.001875,1.8364,0.5795,1.9896,1.7487,-0.2409,-0.001052,1.3014,0.4806,1.7122,0.9302,-0.782,-0.00254,1.7898,0.2496,1.4913,1.9249,0.4336,0.001218
bind_034_binder,Binder,12267,1.6359,0.4017,1.7382,1.4895,-0.2487,-0.000228,1.6759,0.5047,1.0665,2.0283,0.9618,0.002602,2.0832,0.5799,1.8255,1.8441,0.0186,0.000186,1.3104,0.2803,1.2226,1.1714,-0.0512,-8.7e-05,2.2091,0.3024,1.775,2.4252,0.6502,0.00163
bind_088_binder,Binder,12267,2.4789,0.779,3.4923,1.9888,-1.5035,-0.004067,2.6775,0.9558,1.7945,3.4898,1.6953,0.004068,5.76,1.1825,4.2467,6.7781,2.5314,0.006424,1.911,0.3501,1.7201,2.0247,0.3046,0.000517,2.1478,0.3756,1.6429,2.4694,0.8264,0.002281
bind_102_binder,Binder,12267,2.6358,0.7906,2.3734,3.1949,0.8215,0.001968,3.302,0.3509,3.3017,3.6508,0.3491,0.001113,3.2129,1.0834,3.327,3.5804,0.2534,0.001074,1.8161,0.3533,1.8066,1.6721,-0.1345,-0.000491,2.2641,0.422,1.755,2.8884,1.1334,0.002901
bind_101_binder,Binder,12267,1.8626,0.6056,1.7569,1.7676,0.0107,-0.000429,1.7544,0.2936,1.7099,1.768,0.0582,0.00021,2.5274,0.7845,2.8256,2.6157,-0.2099,-0.000804,1.2456,0.3357,1.1115,1.5524,0.4408,0.001006,1.4526,0.2821,1.3643,1.6074,0.2432,0.000586
bind_083_binder,Binder,12267,1.9273,0.5652,1.5524,1.8472,0.2949,0.000608,3.5027,0.8679,2.7197,3.4222,0.7024,0.001607,2.3341,0.9072,2.2645,2.072,-0.1926,-0.00086,1.0556,0.3583,1.3633,0.7558,-0.6075,-0.001493,1.8406,0.2109,1.827,1.7991,-0.028,-0.000145
nonb_046_nb,False Positive,12267,1.385,0.4254,1.1256,1.6592,0.5336,0.001133,2.674,1.1877,1.3055,4.1586,2.8531,0.007801,3.874,0.9747,2.9359,4.2528,1.3169,0.002408,1.8479,0.4346,1.6674,2.2246,0.5572,0.001423,1.6642,0.2357,1.3904,1.8705,0.4801,0.001339
nonb_017_nb,False Positive,12267,2.3386,0.5274,1.9921,2.4089,0.4167,0.001412,1.7357,0.2339,1.7581,1.7198,-0.0383,5e-05,2.1809,0.7092,1.9863,2.4118,0.4255,0.001022,1.514,0.2201,1.4321,1.6435,0.2114,0.000703,1.7911,0.1877,1.5988,1.8403,0.2415,0.000587
nonb_115_nb,False Positive,12267,1.4684,0.4664,1.5015,1.5368,0.0353,-0.000152,2.1019,0.7168,1.54,2.6952,1.1552,0.00399,2.9114,1.0214,3.6234,2.1574,-1.466,-0.004263,1.4175,0.3178,1.5487,1.3108,-0.2379,-0.00078,1.4534,0.1731,1.5693,1.4221,-0.1472,-0.000315
nonb_086_nb,False Positive,12267,2.1814,0.6719,2.1642,2.3272,0.163,0.000343,2.5679,1.0728,1.4123,3.973,2.5607,0.006463,2.9034,0.773,2.5231,3.2913,0.7682,0.001502,1.5761,0.3204,1.6353,1.8679,0.2325,0.000603,1.9292,0.3813,1.5035,2.4599,0.9564,0.002454
nonb_052_nb,False Positive,12267,1.3331,0.4418,1.615,1.2977,-0.3172,-0.00094,1.4598,0.3876,1.4206,1.3236,-0.097,-0.000294,1.9464,0.7289,1.7873,2.275,0.4877,0.000927,1.3223,0.3549,1.1784,1.5517,0.3733,0.000916,1.3563,0.1787,1.231,1.4098,0.1788,0.000591
nonb_073_nb,False Positive,12267,1.727,0.4603,1.5984,1.8505,0.2522,0.000935,2.7221,0.9305,1.542,3.249,1.707,0.005017,3.5034,2.0606,6.0263,2.4197,-3.6066,-0.011382,1.5008,0.6763,2.3879,1.0904,-1.2975,-0.003645,1.5794,0.2224,1.7553,1.4091,-0.3462,-0.001045
nonb_066_nb,False Positive,12267,1.4754,0.4855,1.5928,1.3444,-0.2484,-0.000761,1.5626,0.3022,1.3879,1.6981,0.3102,0.000685,2.2283,0.8676,2.5701,1.8259,-0.7442,-0.001595,1.437,0.3982,1.328,1.2536,-0.0744,-4.1e-05,1.42,0.1511,1.4338,1.3964,-0.0373,6e-06
nonb_050_nb,False Positive,12267,1.8944,0.4931,2.1925,1.8331,-0.3593,-0.000866,2.0931,0.3878,2.2584,2.14,-0.1185,-0.000133,2.3679,0.6209,2.3601,2.4144,0.0543,0.000356,1.2573,0.2392,1.2776,1.2471,-0.0305,-0.000152,1.5795,0.1788,1.5923,1.6945,0.1022,0.000295
nonb_080_nb,False Positive,12267,2.1908,1.2254,2.8159,1.1732,-1.6427,-0.005319,1.4957,0.3618,1.425,1.5817,0.1567,0.000289,2.22,0.9159,2.5007,1.7251,-0.7756,-0.002789,1.5621,0.3433,1.4893,1.6058,0.1165,9e-05,1.4892,0.194,1.4399,1.4591,0.0192,-4.1e-05
nonb_087_nb,False Positive,12267,2.8465,0.5766,3.0753,2.8785,-0.1968,-0.000251,1.9972,0.3642,1.6171,2.1152,0.4981,0.001019,1.7797,0.4873,1.7363,1.6256,-0.1106,-9.2e-05,1.4693,0.3592,1.2992,1.2702,-0.0291,4.2e-05,1.5092,0.1534,1.4955,1.4556,-0.04,-4.6e-05
nonb_053_nb,False Positive,12267,2.0447,0.5556,2.1857,1.9678,-0.2179,-0.000919,1.0725,0.2786,1.1456,1.0606,-0.0849,-0.000156,1.7126,0.709,1.8476,1.6983,-0.1493,-0.000402,1.3408,0.2347,1.4454,1.3408,-0.1046,-6.3e-05,1.3825,0.1986,1.5283,1.4123,-0.116,-0.000293
nonb_049_nb,False Positive,12267,3.2042,0.6671,3.3517,2.8087,-0.543,-0.001206,2.4772,0.6054,2.4852,2.2752,-0.21,-0.001031,2.2618,0.56,2.3222,2.2457,-0.0765,-0.000406,1.2668,0.3381,1.4601,1.2879,-0.1722,-0.000326,1.4595,0.1571,1.5334,1.3599,-0.1736,-0.000518
nonb_048_nb,False Positive,12267,2.3265,0.6227,1.8897,1.9949,0.1052,0.000296,1.2264,0.3317,1.0173,1.3696,0.3523,0.000813,1.9306,0.5697,1.8715,1.6446,-0.2269,-0.001111,1.6101,0.2054,1.6844,1.6026,-0.0818,-0.000174,2.1071,0.2393,2.0672,1.8363,-0.2309,-0.000726
nonb_025_nb,False Positive,12267,2.7938,0.8643,2.0459,3.5401,1.4942,0.004344,2.3745,0.6646,2.051,3.0263,0.9753,0.002624,3.0418,0.7562,3.1962,3.1185,-0.0777,0.0007,1.9784,0.3885,1.9484,2.0831,0.1348,0.000851,1.8063,0.2419,1.6425,2.0036,0.3611,0.001117
nonb_032_nb,False Positive,12267,2.7067,0.5475,2.0203,2.8986,0.8783,0.002194,1.443,0.3941,1.767,1.2478,-0.5192,-0.001536,2.8525,1.0455,1.9323,3.0982,1.1659,0.003511,2.2595,0.7285,1.336,2.6242,1.2881,0.003742,1.6997,0.2759,1.4226,1.7056,0.283,0.000814
nonb_067_nb,False Positive,12267,3.6034,0.8465,2.4491,4.0117,1.5625,0.004024,2.2097,0.5146,1.8924,2.3281,0.4356,0.000876,2.5036,1.0112,2.824,2.1086,-0.7153,-0.001752,1.4678,0.368,1.6947,1.5124,-0.1823,-0.000592,1.6188,0.1717,1.5832,1.6636,0.0805,0.000257
nonb_081_nb,False Positive,12267,1.9136,0.7033,1.2723,2.1537,0.8814,0.00288,2.1227,0.4628,1.9131,2.5025,0.5894,0.001915,2.286,0.7282,2.4229,2.2338,-0.1891,-0.000386,1.8095,0.3104,1.7252,1.743,0.0178,7.2e-05,1.6883,0.1919,1.5851,1.7863,0.2013,0.000758
nonb_054_nb,False Positive,12267,2.1555,1.0644,2.0237,1.491,-0.5327,-0.000652,1.6014,0.3882,1.7725,1.6127,-0.1598,-0.000488,2.4529,0.976,2.4784,2.2553,-0.2231,-0.000338,1.3407,0.3127,1.393,1.3396,-0.0534,-2.1e-05,1.5033,0.1951,1.5286,1.4442,-0.0844,-0.000276
nonb_013_nb,False Positive,12267,3.782,0.8493,2.9933,4.4305,1.4372,0.00419,4.3851,1.1906,2.9171,5.0392,2.1221,0.006407,2.8756,1.01,2.5143,3.2932,0.7789,0.002297,2.3631,0.668,2.0111,2.8074,0.7964,0.002858,2.0598,0.3665,1.6954,2.1496,0.4542,0.001565
nonb_072_nb,False Positive,12267,2.9205,0.9823,1.2911,3.4225,2.1314,0.005085,2.0448,0.263,2.0807,2.1825,0.1018,0.000131,4.2499,0.8437,4.417,4.3165,-0.1006,0.000125,1.2983,0.325,1.3039,1.2672,-0.0366,0.000129,1.6721,0.1784,1.5262,1.7472,0.221,0.00058
nonb_089_nb,False Positive,12267,3.1429,0.5282,3.3567,3.2809,-0.0758,0.00032,1.8736,0.3709,1.8583,1.8639,0.0056,-3.7e-05,3.7702,1.9646,2.7882,6.4381,3.65,0.010683,2.2035,0.5408,1.96,2.7213,0.7613,0.002536,1.6755,0.2632,1.5485,2.0057,0.4571,0.001352
nonb_116_nb,False Positive,12267,1.9495,0.5891,1.4837,2.0036,0.5198,0.001257,1.4989,0.3267,1.4094,1.5742,0.1648,0.000833,5.7585,1.0619,4.5676,6.2405,1.6729,0.005236,2.1987,0.3583,2.1754,2.1904,0.015,0.000455,2.063,0.2661,1.7225,2.1618,0.4393,0.001343
nonb_056_nb,False Positive,12267,1.82,0.5512,2.0829,1.8142,-0.2687,-0.000311,1.0877,0.2546,1.2149,1.1114,-0.1035,-0.000155,1.6542,0.4789,1.615,1.7051,0.0901,0.00017,1.2963,0.303,1.3847,1.2306,-0.1541,-0.000381,1.8408,0.3263,1.4151,2.1101,0.695,0.001804
nonb_074_nb,False Positive,12267,2.2205,0.7873,2.0676,2.5526,0.485,0.001423,2.1649,0.4673,1.8227,2.7424,0.9197,0.002476,2.5415,0.7431,2.5617,2.661,0.0993,0.000642,1.5805,0.3419,1.6094,1.7133,0.104,2.2e-05,1.8284,0.2411,1.8589,1.8373,-0.0216,-0.000295
nonb_071_nb,False Positive,12267,1.3876,0.3362,1.496,1.2517,-0.2443,-0.000383,2.3981,0.6671,2.1358,2.7683,0.6325,0.001803,2.8213,0.7529,2.3137,3.1932,0.8795,0.002611,1.6483,0.36,1.5785,1.6113,0.0328,0.000389,1.9392,0.3653,1.4712,2.0974,0.6262,0.001927
nonb_022_nb,False Positive,12267,1.6171,0.5908,1.1267,2.068,0.9413,0.002865,2.3424,1.3536,1.0308,4.2787,3.2479,0.008951,4.3623,1.405,4.5677,4.1848,-0.3829,-0.001228,2.2512,0.6116,2.4492,2.0773,-0.3719,-0.001167,1.6999,0.2181,1.6967,1.7732,0.0765,0.000266
nonb_068_nb,False Positive,12267,1.6981,0.425,1.5768,1.941,0.3641,0.001036,2.0813,0.6413,2.7974,1.9167,-0.8807,-0.002867,5.668,1.8845,2.8703,6.5247,3.6545,0.009461,1.7108,0.561,1.2216,1.8534,0.6318,0.00171,1.9298,0.4037,1.3781,1.9516,0.5735,0.001424
nonb_085_nb,False Positive,12267,1.6325,0.397,1.4641,1.5686,0.1045,1e-06,2.8929,0.7743,2.3091,3.2942,0.9851,0.001937,2.9063,0.9006,2.8458,3.0153,0.1695,7.5e-05,1.2865,0.3276,1.2348,1.2684,0.0336,0.000259,1.7643,0.2088,1.668,1.88,0.212,0.00051
nonb_051_nb,False Positive,12267,1.3637,0.3888,1.3738,1.3416,-0.0322,1.3e-05,1.68,0.3962,1.6724,1.899,0.2266,0.000958,3.3277,1.0919,3.4564,3.0679,-0.3886,-0.001774,2.0129,0.3627,2.0957,1.7033,-0.3924,-0.001257,1.7269,0.2202,1.5566,1.9967,0.44,0.001147
nonb_010_nb,False Positive,12267,1.9657,0.5674,2.4304,1.5333,-0.8971,-0.002114,1.9439,0.4126,1.9326,2.0668,0.1342,0.000611,2.6232,0.7513,2.561,3.0199,0.4589,0.001327,1.534,0.358,1.3074,1.8205,0.5131,0.001448,1.5707,0.2235,1.4974,1.7393,0.2419,0.000819
nonb_014_nb,False Positive,12267,2.8093,0.771,1.6923,3.4259,1.7336,0.004077,1.9047,0.2559,1.7263,1.8903,0.164,0.000367,2.8003,0.8143,3.0629,2.3616,-0.7013,-0.002133,2.4659,0.5456,1.7859,2.5469,0.761,0.001611,1.7122,0.2382,1.4018,1.7278,0.326,0.000847
nonb_117_nb,False Positive,12267,1.7053,0.583,1.8694,1.7407,-0.1287,0.000196,2.0171,0.6887,1.5338,2.5602,1.0264,0.002919,3.1147,1.2401,2.8983,3.716,0.8177,0.003334,1.6057,0.3712,1.5913,1.7277,0.1364,0.000716,1.9364,0.5017,1.4089,2.3492,0.9402,0.003102
nonb_029_nb,False Positive,12267,2.3975,0.7606,1.9722,2.8591,0.8869,0.001933,3.725,1.0976,3.0426,3.6043,0.5617,0.000514,3.1445,0.8053,2.7143,2.7986,0.0843,5.3e-05,1.9139,0.3895,1.8184,1.8589,0.0405,0.000257,1.7886,0.1907,1.6364,1.8146,0.1782,0.000375
