Sequence,Group,Gate (r84-90) mean (A),Gate (r84-90) SD (A),Latch (r114-118) mean (A),Latch (r114-118) SD (A),Lb7a5 (r148-155) mean (A),Lb7a5 (r148-155) SD (A),C-term helix (r154-166) mean (A),C-term helix (r154-166) SD (A)
pair_1679_nb,False Positive,0.78483,0.23798,0.0,,0.0,,0.0,
pair_1709_nb,False Positive,0.19367,0.01222,0.0,,0.0,,0.0,
pair_1710_nb,False Positive,0.4834,0.09402,0.0,,0.0,,0.0,
pair_1737_nb,False Positive,0.43871,0.07783,0.0,,0.0,,0.0,
pair_1758_nb,False Positive,0.70709,0.35433,0.0,,0.0,,0.0,
pair_1784_nb,False Positive,0.5872,0.11664,0.0,,0.0,,0.0,
pair_1785_nb,False Positive,0.42933,0.05829,0.0,,0.0,,0.0,
pair_1792_nb,False Positive,0.6135,0.05147,0.0,,0.0,,0.0,
pair_1835_nb,False Positive,0.40117,0.03725,0.0,,0.0,,0.0,
pair_1847_nb,False Positive,1.21643,0.36664,0.0,,0.0,,0.0,
pair_1914_nb,False Positive,0.3658,0.06492,0.0,,0.0,,0.0,
pair_1922_nb,False Positive,0.47675,0.0849,0.0,,0.0,,0.0,
pair_1938_nb,False Positive,0.62867,0.23051,0.0,,0.0,,0.0,
pair_1961_nb,False Positive,0.4695,0.1,0.0,,0.0,,0.0,
pair_0008_low_pkt,Low Confidence,0.852,0.27825,0.0,,0.0,,0.0,
pair_0393_low_pkt,Low Confidence,0.027,0.0,0.0,,0.0,,0.0,
pair_0482_low_pkt,Low Confidence,0.623,0.16979,0.0,,0.0,,0.0,
pair_0482_nb,False Positive,0.36329,0.07879,0.5804,0.13161,0.71413,0.1582,0.75654,0.20469
pair_1331_low_pkt,Low Confidence,0.81786,0.22792,0.0,,0.0,,0.0,
pair_1931_low_pkt,Low Confidence,0.027,0.0,0.0,,0.0,,0.0,
pair_0065_low_pkt,Low Confidence,0.85633,0.2297,0.0,,0.0,,0.0,
pair_0947_low_pkt,Low Confidence,0.523,0.38848,0.0,,0.0,,0.0,
pair_0948_low_pkt,Low Confidence,0.206,0.0,0.0,,0.0,,0.0,
pair_1413_low_pkt,Low Confidence,0.96243,0.32184,0.0,,0.0,,0.0,
pair_0715_fail_gate,Fail Geometry,0.1564,0.02549,0.0,,0.0,,0.0,
pair_1094_fail_gate,Fail Geometry,0.48675,0.06433,0.0,,0.0,,0.0,
pair_1682_fail_gate,Fail Geometry,0.736,0.1853,0.0,,0.0,,0.0,
pair_1739_fail_gate,Fail Geometry,0.60271,0.22572,0.0,,0.0,,0.0,
pair_1941_fail_gate,Fail Geometry,0.32275,0.00939,0.0,,0.0,,0.0,
pair_0014_fail_gate,Fail Geometry,1.30529,0.50115,0.0,,0.0,,0.0,
pair_0263_fail_gate,Fail Geometry,0.5922,0.22143,0.0,,0.0,,0.0,
pair_0540_fail_gate,Fail Geometry,0.38713,0.08169,0.0,,0.0,,0.0,
pair_0997_fail_gate,Fail Geometry,0.67567,0.26367,0.0,,0.0,,0.0,
pair_1745_fail_gate,Fail Geometry,0.294,0.01192,0.0,,0.0,,0.0,
bind_019_binder,Binder,0.30671,0.05336,0.3686,0.08118,0.76238,0.12389,0.47746,0.10153
bind_020_binder,Binder,0.33057,0.08579,0.5134,0.12065,0.85575,0.14632,0.71469,0.25618
bind_022_binder,Binder,0.40157,0.08386,0.3266,0.04657,1.01938,0.18437,0.36215,0.09164
bind_034_binder,Binder,0.31414,0.05677,0.3578,0.07666,0.39,0.07008,0.35754,0.08885
bind_041_binder,Binder,0.34429,0.07141,0.4968,0.14614,0.772,0.17144,0.57708,0.18667
bind_043_binder,Binder,0.28486,0.04578,0.3802,0.08271,0.8615,0.24934,0.59377,0.1631
bind_069_binder,Binder,0.28586,0.05101,0.3374,0.0471,0.64488,0.12544,0.61108,0.15753
bind_076_binder,Binder,0.30714,0.05227,0.3578,0.05961,0.56838,0.06243,0.38015,0.07496
bind_080_binder,Binder,0.27,0.05215,0.332,0.04698,0.64125,0.11543,0.32969,0.0537
bind_083_binder,Binder,0.35043,0.05716,0.3498,0.08495,0.57937,0.11743,0.53723,0.14648
bind_088_binder,Binder,0.38386,0.09009,0.2876,0.05253,0.58987,0.08498,0.29485,0.05861
bind_099_binder,Binder,0.34829,0.09383,0.3014,0.05661,0.42063,0.09063,0.54038,0.16514
bind_100_binder,Binder,0.385,0.06215,0.3912,0.09803,0.61262,0.15096,0.51738,0.16166
bind_101_binder,Binder,0.38329,0.06796,0.39,0.09192,0.76787,0.17018,0.56077,0.20352
bind_102_binder,Binder,1.30471,0.15628,0.6466,0.24931,0.71575,0.17448,0.34554,0.07852
bind_110_binder,Binder,0.36243,0.06512,0.3122,0.06811,0.56438,0.12775,0.50631,0.15346
pair_3061_binder,Binder,0.36471,0.08385,0.3762,0.09601,0.53038,0.10523,0.47877,0.12489
nonb_006_nb,False Positive,0.48329,0.10473,0.4672,0.08309,0.75313,0.15211,0.32623,0.06907
nonb_008_nb,False Positive,0.49443,0.10595,0.3274,0.07125,0.55688,0.07667,0.35085,0.05644
nonb_009_nb,False Positive,0.64914,0.17287,0.3786,0.0642,0.57062,0.09694,0.30285,0.04667
nonb_010_nb,False Positive,0.47057,0.11556,0.401,0.11736,0.65163,0.04975,0.591,0.13001
nonb_011_nb,False Positive,0.35629,0.0657,0.35,0.04446,0.47475,0.09532,0.49462,0.09438
nonb_013_nb,False Positive,0.489,0.13707,0.2574,0.03032,0.81163,0.20447,0.59738,0.1592
nonb_014_nb,False Positive,0.49157,0.11593,0.3348,0.02196,0.69837,0.15223,0.52723,0.21092
nonb_017_nb,False Positive,0.30829,0.0436,0.451,0.17482,0.48988,0.05775,0.41338,0.14622
nonb_018_nb,False Positive,0.523,0.11673,0.7692,0.32198,0.6595,0.12092,0.47962,0.15499
nonb_019_nb,False Positive,0.285,0.05089,0.2806,0.06196,0.58025,0.08975,0.32723,0.07549
nonb_021_nb,False Positive,0.46729,0.09312,0.633,0.12939,0.7545,0.1847,0.53362,0.11011
nonb_022_nb,False Positive,0.39343,0.06105,0.3104,0.07985,0.96275,0.17758,0.367,0.09048
nonb_023_nb,False Positive,0.593,0.10444,0.9214,0.39086,0.631,0.13502,0.43438,0.06481
nonb_024_nb,False Positive,0.337,0.07769,0.6002,0.26047,0.67687,0.16999,0.35485,0.06732
nonb_025_nb,False Positive,0.50614,0.12281,0.2462,0.0417,0.59325,0.06298,0.49854,0.13336
nonb_026_nb,False Positive,0.81643,0.19379,0.3848,0.05701,0.6955,0.16263,0.69469,0.22556
nonb_029_nb,False Positive,0.393,0.07408,0.3948,0.09968,0.61713,0.14238,0.50977,0.19393
nonb_032_nb,False Positive,0.47029,0.13716,0.4294,0.11416,0.56438,0.10991,0.35477,0.09172
nonb_046_nb,False Positive,0.26643,0.05049,0.314,0.04578,0.50812,0.09719,0.71054,0.317
nonb_047_nb,False Positive,0.33543,0.0989,0.3144,0.05168,0.7675,0.16423,0.53123,0.1628
nonb_048_nb,False Positive,0.48671,0.09536,0.3554,0.04958,0.6185,0.11618,0.49769,0.17255
nonb_049_nb,False Positive,0.45814,0.08259,0.3524,0.11618,0.60725,0.11977,0.307,0.05177
nonb_050_nb,False Positive,0.44786,0.14569,0.2776,0.05199,0.71913,0.12612,0.39162,0.06954
nonb_051_nb,False Positive,0.29814,0.05074,0.3164,0.05722,0.51863,0.09289,0.48546,0.16516
nonb_052_nb,False Positive,0.28571,0.04119,0.5704,0.28978,0.8585,0.14194,0.468,0.11718
nonb_053_nb,False Positive,0.33757,0.05209,0.5006,0.20594,1.20037,0.21129,0.38438,0.05485
nonb_054_nb,False Positive,0.68457,0.33882,0.3092,0.01877,1.21788,0.26246,0.294,0.05904
nonb_056_nb,False Positive,0.45,0.0927,0.7614,0.34508,0.62587,0.15543,0.54085,0.14996
nonb_066_nb,False Positive,0.30914,0.04569,0.389,0.06493,0.71062,0.12851,0.649,0.16495
nonb_067_nb,False Positive,0.40257,0.09842,0.3208,0.03962,0.64213,0.15802,0.45531,0.1857
nonb_068_nb,False Positive,0.34371,0.06839,0.3888,0.10735,0.695,0.10464,0.39931,0.09409
nonb_071_nb,False Positive,0.30229,0.07147,0.3576,0.0926,0.54825,0.11261,0.61538,0.18636
nonb_072_nb,False Positive,0.42371,0.10744,0.426,0.03714,0.58763,0.13177,0.28315,0.06095
nonb_073_nb,False Positive,0.31657,0.10044,0.3956,0.12959,0.69562,0.14684,0.59754,0.13141
nonb_074_nb,False Positive,0.26929,0.05132,0.3592,0.07337,0.79612,0.12769,0.55569,0.16476
nonb_075_nb,False Positive,0.534,0.10685,0.4218,0.09133,0.5285,0.11431,0.68992,0.18383
nonb_080_nb,False Positive,0.31957,0.04399,0.2974,0.07317,0.8825,0.17811,0.53292,0.21134
nonb_081_nb,False Positive,0.45857,0.1036,0.2418,0.02943,0.71888,0.09937,0.65131,0.16928
nonb_082_nb,False Positive,0.47371,0.14212,0.4708,0.06921,0.59862,0.1335,0.69208,0.23222
nonb_085_nb,False Positive,0.34314,0.07243,0.6616,0.16163,0.61762,0.13667,0.509,0.1678
nonb_086_nb,False Positive,0.337,0.06449,0.2918,0.02309,0.56,0.13322,0.45246,0.10095
nonb_087_nb,False Positive,0.936,0.58085,0.935,0.48352,1.01938,0.23503,0.32608,0.06381
nonb_088_nb,False Positive,0.43057,0.09862,0.2538,0.04769,0.49775,0.08356,0.29654,0.04954
nonb_089_nb,False Positive,0.32929,0.05893,0.5256,0.06856,0.619,0.12516,0.43123,0.1472
nonb_115_nb,False Positive,0.35671,0.06134,0.3612,0.07067,1.323,0.27744,0.60954,0.14417
nonb_116_nb,False Positive,0.39057,0.08927,0.4896,0.07186,0.8785,0.16184,1.53662,0.54752
nonb_117_nb,False Positive,0.444,0.07918,0.3754,0.07696,0.60663,0.1466,0.74569,0.20182
