Sequence,Group,N frames,Gate RMSD mean (A),Gate RMSD SD (A),Gate RMSD early100 mean (A),Gate RMSD late100 mean (A),Gate drift100 (A),Gate slope (A/ns),Latch RMSD mean (A),Latch RMSD SD (A),Latch RMSD early100 mean (A),Latch RMSD late100 mean (A),Latch drift100 (A),Latch slope (A/ns),Lb7a5 RMSD mean (A),Lb7a5 RMSD SD (A),Lb7a5 RMSD early100 mean (A),Lb7a5 RMSD late100 mean (A),Lb7a5 drift100 (A),Lb7a5 slope (A/ns),Recoil RMSD mean (A),Recoil RMSD SD (A),Recoil RMSD early100 mean (A),Recoil RMSD late100 mean (A),Recoil drift100 (A),Recoil slope (A/ns),Whole RMSD mean (A),Whole RMSD SD (A),Whole RMSD early100 mean (A),Whole RMSD late100 mean (A),Whole drift100 (A),Whole slope (A/ns)
pair_3063_binder,Binder,5600,4.2184,1.157,4.6849,3.7769,-0.9079,-0.005757,3.6068,0.5233,3.6143,3.5397,-0.0746,-0.00136,3.5811,0.6408,3.6956,3.471,-0.2246,-0.002968,2.9683,0.7041,2.6866,3.2706,0.584,0.006656,3.0056,0.8002,2.5691,3.4818,0.9127,0.009398
pair_3066_binder,Binder,5600,2.5661,0.7891,2.3986,2.6445,0.2459,0.002993,1.9916,0.7211,2.3366,1.5577,-0.7789,-0.00412,2.8511,0.8565,2.8525,2.7877,-0.0648,0.001443,1.4695,0.4107,1.296,1.6596,0.3636,0.002826,2.2047,0.4271,1.9135,2.4529,0.5394,0.005448
pair_3067_binder,Binder,5600,2.2889,0.6219,2.4905,2.1171,-0.3734,-0.004456,2.4952,0.5818,2.607,2.4265,-0.1804,-0.002034,2.3511,0.9751,2.3647,2.2906,-0.0741,0.000995,1.3959,0.3192,1.3969,1.4037,0.0068,-0.000271,2.2445,0.266,2.2053,2.2889,0.0836,0.000734
pair_3068_binder,Binder,5600,1.9989,0.706,2.2629,1.7888,-0.4741,-0.003221,2.7247,1.2161,1.8888,3.637,1.7482,0.015647,2.6212,1.0033,2.3968,2.8637,0.4669,0.004925,1.3105,0.3321,1.2671,1.2977,0.0306,-0.000331,1.531,0.1964,1.4286,1.6259,0.1973,0.001864
pair_3071_binder,Binder,5600,2.2019,0.9387,2.9005,1.4612,-1.4393,-0.010777,1.3271,0.498,1.1684,1.5228,0.3543,0.003623,2.1494,0.63,2.2959,1.9801,-0.3158,-0.002613,1.2864,0.3346,1.1713,1.3794,0.2081,0.002169,1.5693,0.262,1.7697,1.3732,-0.3964,-0.003094
pair_3072_binder,Binder,5600,2.1945,0.6226,2.4299,1.9601,-0.4698,-0.004008,1.9097,0.4937,2.1448,1.7074,-0.4374,-0.004331,2.3615,0.7066,2.0822,2.5357,0.4535,0.003883,1.4059,0.2567,1.3612,1.4373,0.0761,0.000482,1.6236,0.1413,1.6683,1.5829,-0.0854,-0.000384
pair_3073_binder,Binder,5600,1.8194,0.5986,1.7797,1.8429,0.0632,0.001166,2.6649,0.8868,2.7268,2.5036,-0.2232,0.001119,2.4177,0.7049,2.4775,2.3325,-0.145,0.000402,1.2616,0.3945,1.3696,1.1531,-0.2165,-0.000257,1.771,0.1916,1.8125,1.726,-0.0865,6.6e-05
pair_3075_binder,Binder,5600,1.3081,0.3776,1.2894,1.3461,0.0567,-4e-06,1.3948,0.3095,1.3137,1.4836,0.17,0.000966,2.731,1.0222,2.0846,3.4756,1.3911,0.012585,1.5095,0.4253,1.2497,1.7983,0.5487,0.004869,1.5932,0.1589,1.5221,1.6695,0.1473,0.001122
pair_3076_binder,Binder,5600,1.3353,0.3931,1.2815,1.3719,0.0904,0.000608,1.8994,0.52,1.5896,2.253,0.6634,0.004951,2.2294,0.6236,2.2815,2.1498,-0.1317,-0.000569,1.2769,0.3088,1.2407,1.3369,0.0962,0.000838,1.5859,0.3271,1.3482,1.8465,0.4983,0.004296
pair_3077_binder,Binder,5600,1.1206,0.3977,1.1466,1.1127,-0.0339,-0.000174,1.6316,0.546,1.9569,1.3382,-0.6187,-0.005196,2.1875,0.8034,2.1736,2.0783,-0.0953,0.001432,1.2158,0.334,1.0641,1.3808,0.3167,0.002957,1.1946,0.1586,1.1356,1.2402,0.1045,0.001093
pair_3078_binder,Binder,5600,2.4436,0.8487,3.0609,1.7866,-1.2742,-0.010512,1.5614,0.3879,1.3945,1.7268,0.3323,0.002098,2.6925,0.839,2.2358,3.1298,0.8939,0.004082,1.8075,0.5194,1.5234,2.0573,0.5338,0.002475,1.5522,0.1606,1.4808,1.6186,0.1378,0.001007
pair_3079_binder,Binder,5600,1.1808,0.3518,1.1042,1.2487,0.1445,0.001262,2.6873,0.7385,2.1903,3.1279,0.9376,0.008759,2.3155,0.8174,1.9496,2.611,0.6614,0.005983,1.3363,0.25,1.3694,1.2798,-0.0896,-0.000205,1.5011,0.1882,1.382,1.6083,0.2263,0.002013
pair_3080_binder,Binder,5600,2.0285,0.6189,1.7498,2.2799,0.5302,0.00504,3.5182,0.9907,2.9113,4.1406,1.2293,0.011007,1.7635,0.5494,1.6347,1.8966,0.2619,0.002352,1.0933,0.2596,1.1868,0.9988,-0.188,-0.001368,1.4552,0.1603,1.3987,1.5181,0.1194,0.001341
pair_3085_binder,Binder,5600,2.7289,0.7396,2.672,2.8633,0.1913,0.003318,1.9098,0.4288,1.9611,1.8936,-0.0674,-0.001505,3.2481,0.7987,3.175,3.3628,0.1877,0.001572,2.4392,0.6494,2.1744,2.7621,0.5876,0.006309,2.789,0.4533,2.6253,2.9981,0.3728,0.004111
pair_3086_binder,Binder,5600,1.9413,0.4522,1.8857,1.9731,0.0875,0.000344,1.4843,0.2592,1.467,1.4951,0.0281,0.000481,2.4233,0.6146,2.452,2.3848,-0.0672,-0.001103,1.5612,0.3003,1.5766,1.5564,-0.0202,-2.2e-05,1.9949,0.2006,1.9552,2.0279,0.0728,0.000463
pair_3087_binder,Binder,5600,2.1088,0.833,2.5649,1.6638,-0.9011,-0.007176,1.9055,0.3763,1.7764,2.0701,0.2938,0.002632,2.1055,0.8016,2.3139,1.9734,-0.3406,-0.00066,1.3067,0.2988,1.3571,1.2801,-0.077,-0.00018,1.685,0.1874,1.738,1.6484,-0.0897,-0.000449
pair_3088_binder,Binder,5600,1.4007,0.5073,1.2747,1.5394,0.2647,0.002077,1.2912,0.3227,1.1318,1.4558,0.3241,0.002629,1.8158,0.6655,1.561,2.0329,0.472,0.002518,1.3895,0.3595,1.5593,1.2246,-0.3346,-0.002434,1.549,0.2307,1.554,1.5441,-0.0099,5e-06
pair_3091_binder,Binder,5600,2.2252,0.6299,2.3813,2.0918,-0.2895,-0.001138,2.2525,0.8266,2.7901,1.7844,-1.0057,-0.005327,2.46,0.7523,2.9071,2.0729,-0.8343,-0.005738,1.2816,0.2791,1.2598,1.3019,0.0421,-0.000279,1.8338,0.1548,1.8779,1.8021,-0.0757,-0.000108
pair_3099_binder,Binder,5600,4.1802,0.6554,4.0646,4.3241,0.2595,0.002277,2.5169,0.6195,2.5036,2.564,0.0604,-0.000863,3.4659,1.164,3.8086,3.0263,-0.7823,-0.003996,2.0539,0.5013,2.2526,1.8631,-0.3895,-0.001672,2.829,0.1922,2.7622,2.8964,0.1341,0.001109
pair_3100_binder,Binder,5600,2.6583,0.7541,2.7769,2.5685,-0.2084,-0.003512,1.7616,0.4071,1.8144,1.7391,-0.0753,-0.000107,2.3939,0.6993,2.3738,2.4403,0.0666,-0.000805,1.3175,0.2603,1.2119,1.4265,0.2146,0.001521,1.5065,0.1482,1.5289,1.4913,-0.0377,-9.3e-05
pair_3101_binder,Binder,5600,1.724,0.6796,1.8748,1.5053,-0.3694,-0.003394,2.0978,0.4137,2.0961,2.0424,-0.0537,-0.000883,2.8882,0.7782,2.5332,3.2462,0.713,0.002983,2.0791,0.4067,2.0246,2.1334,0.1089,-0.000123,1.7978,0.191,1.7701,1.8047,0.0346,-0.000381
pair_3103_binder,Binder,5600,1.3042,0.4875,1.1351,1.464,0.3289,0.00321,1.6767,0.4319,1.8931,1.4391,-0.454,-0.00386,2.3636,0.83,2.3453,2.3993,0.054,-7.2e-05,1.5342,0.4415,1.309,1.7233,0.4143,0.003849,1.792,0.19,1.6968,1.8792,0.1824,0.001582
pair_3104_binder,Binder,5600,1.037,0.3826,0.9965,1.0904,0.0939,0.000148,1.1866,0.3697,1.1071,1.2765,0.1694,0.000984,3.0374,0.8423,2.817,3.2736,0.4566,0.005429,1.2613,0.3234,1.2094,1.3243,0.1148,0.00112,1.5941,0.199,1.6083,1.5565,-0.0518,-0.000264
pair_3108_binder,Binder,5600,1.5192,0.6925,1.7934,1.2866,-0.5069,-0.005778,1.9354,0.5864,1.513,2.2896,0.7765,0.005717,2.3801,0.7399,2.5242,2.237,-0.2873,-0.002532,1.411,0.3563,1.3246,1.4952,0.1706,0.000386,1.7715,0.261,1.6445,1.8807,0.2363,0.001034
seq1_nb,False Positive,5600,4.2003,1.0061,3.7845,4.5593,0.7748,0.008689,1.9776,0.4315,1.9985,1.9527,-0.0457,-1.8e-05,2.1143,0.8011,2.0268,2.1877,0.1609,0.001648,1.59,0.2681,1.625,1.5416,-0.0834,-0.000996,1.9071,0.2156,1.8081,2.0085,0.2005,0.001905
seq2_nb,False Positive,5600,1.917,0.5597,1.9699,1.8443,-0.1256,-0.00077,1.8341,0.4243,1.9278,1.7436,-0.1842,-0.001924,2.8162,0.9626,2.7913,2.814,0.0227,0.000865,1.6836,0.4353,1.4951,1.8855,0.3904,0.003195,1.8957,0.3049,1.6358,2.1415,0.5057,0.004308
seq3_nb,False Positive,5600,3.7606,1.7128,3.6407,3.9567,0.316,0.008706,3.7978,1.142,4.3134,3.2411,-1.0723,-0.008078,3.696,1.1443,3.9521,3.3032,-0.6488,-0.002665,1.2426,0.4005,1.1908,1.2547,0.0639,0.001036,2.1951,0.2582,2.2374,2.1283,-0.1091,0.000204
seq4_nb,False Positive,5600,2.2149,0.8367,2.0487,2.4405,0.3919,0.002623,2.1942,0.4318,1.9547,2.4145,0.4598,0.004158,2.838,0.8827,2.6203,3.0455,0.4252,0.003681,1.9852,0.457,1.9603,1.9835,0.0233,0.001492,2.0259,0.237,1.8896,2.1785,0.2889,0.00229
seq5_nb,False Positive,5600,3.2892,1.2597,2.374,4.2514,1.8774,0.016543,2.2575,0.8363,2.0264,2.5413,0.5149,0.006289,3.016,0.8784,2.6568,3.3951,0.7383,0.00768,2.2806,0.6204,2.4818,2.0079,-0.4738,-0.003194,2.2884,0.4086,2.0896,2.5052,0.4155,0.004559
seq6_nb,False Positive,5600,2.933,0.9728,2.6346,3.1727,0.5381,0.003279,1.8642,0.6992,1.6151,2.1244,0.5093,0.002707,2.3462,0.7239,2.4329,2.2476,-0.1853,-0.001131,0.8852,0.2494,0.8296,0.9378,0.1082,0.000675,1.6368,0.1615,1.5738,1.7057,0.1319,0.000965
seq7_nb,False Positive,5600,3.8606,0.418,3.8238,3.8835,0.0598,0.000671,3.1553,0.8458,2.7531,3.5779,0.8248,0.008506,2.7782,0.7606,2.7549,2.8303,0.0754,-0.000324,1.1078,0.2713,1.011,1.214,0.203,0.001602,1.7098,0.1527,1.6316,1.7809,0.1493,0.001153
pair_0052_nb,False Positive,5600,5.6222,1.3395,4.8191,6.3581,1.539,0.015579,1.7569,0.5729,2.198,1.3318,-0.8663,-0.006905,1.9685,0.6399,1.8344,2.0804,0.2461,0.003477,1.7715,0.3437,1.6511,1.8639,0.2127,0.001635,2.3111,0.1922,2.2622,2.3531,0.0909,0.00141
pair_0091_nb,False Positive,5600,1.5496,0.6523,1.545,1.5245,-0.0205,0.000269,3.3179,0.9766,3.5123,3.1982,-0.3141,-0.005873,3.6208,1.1643,3.4099,3.9077,0.4978,0.000153,1.9283,0.3016,1.8179,2.0237,0.2058,0.001185,1.8362,0.2099,1.8835,1.8034,-0.08,-0.000576
pair_0246_nb,False Positive,5600,2.8176,1.0213,2.4843,3.1934,0.709,0.003734,2.6427,0.7009,2.1921,3.1408,0.9487,0.006043,2.3897,0.6842,2.1244,2.6315,0.5071,0.005171,1.9253,0.3908,1.7746,2.097,0.3224,0.001411,2.1936,0.2499,2.0258,2.3454,0.3196,0.002277
pair_0269_nb,False Positive,5600,2.4243,0.6055,2.6376,2.1913,-0.4463,-0.003744,1.3913,0.2893,1.473,1.3168,-0.1562,-0.001539,1.7351,0.5894,1.6177,1.8864,0.2687,0.002857,1.9804,0.487,2.393,1.5711,-0.8219,-0.006265,2.1978,0.194,2.078,2.3046,0.2267,0.002169
pair_0272_nb,False Positive,5600,2.0103,0.5968,1.7833,2.2876,0.5043,0.002129,3.0315,1.1042,2.0386,3.9886,1.95,0.015287,2.6715,0.6273,2.4802,2.8556,0.3754,0.002014,1.5494,0.3084,1.4196,1.6736,0.254,0.001761,1.7568,0.2195,1.7134,1.8149,0.1015,0.000263
pair_0276_nb,False Positive,5600,1.6408,0.5363,1.5576,1.743,0.1853,0.001149,3.1522,0.8411,2.9226,3.3716,0.449,0.006379,2.0284,0.8241,1.7455,2.335,0.5895,0.003331,1.1815,0.3443,1.0886,1.2856,0.1971,0.000353,1.5697,0.1818,1.469,1.6527,0.1838,0.001732
pair_0288_nb,False Positive,5600,2.2017,0.5534,1.985,2.3844,0.3994,0.002037,3.4474,0.66,3.1902,3.6676,0.4774,0.00256,3.4359,0.7054,3.5858,3.3177,-0.268,-0.001627,3.8341,0.4577,4.0082,3.678,-0.3302,-0.002207,2.0525,0.175,2.0025,2.1104,0.1079,0.001285
pair_0351_nb,False Positive,5600,2.7575,0.8837,2.6014,2.8417,0.2403,0.003851,2.8537,0.631,2.5003,3.2362,0.7359,0.006102,2.7804,0.98,2.4895,3.0696,0.5801,0.003798,1.6233,0.4315,1.4976,1.706,0.2085,0.002494,1.9605,0.2632,1.9091,1.9788,0.0697,0.000761
pair_0502_nb,False Positive,5600,2.268,0.6285,2.6078,1.9418,-0.666,-0.004049,1.939,0.7473,1.5582,2.3789,0.8207,0.007122,2.272,0.816,2.35,2.1428,-0.2072,-0.001235,1.2387,0.2947,1.2627,1.2122,-0.0505,-0.000164,1.8082,0.2299,1.8238,1.8193,-0.0045,0.000545
pair_0506_nb,False Positive,5600,1.6358,0.6865,2.0506,1.2458,-0.8048,-0.007353,1.9208,0.5052,1.7225,2.1148,0.3923,0.004324,3.2423,0.9098,3.203,3.2581,0.0551,0.002797,1.5092,0.3401,1.5587,1.4379,-0.1209,-0.000413,1.827,0.268,1.7275,1.9037,0.1762,0.001889
pair_0647_nb,False Positive,5600,1.6015,0.4849,1.716,1.5038,-0.2122,-0.001444,1.9131,0.6218,2.1183,1.7485,-0.3698,-0.00273,2.3018,0.6003,2.5055,2.1185,-0.387,-0.002603,1.4858,0.346,1.5091,1.413,-0.0961,-0.000857,1.5628,0.2554,1.6221,1.5028,-0.1193,-0.001746
pair_0777_nb,False Positive,5600,2.9538,0.5286,2.8565,3.066,0.2094,0.002067,2.0991,0.4788,1.9699,2.2119,0.242,0.001707,2.1709,0.7776,2.2517,2.1194,-0.1323,0.000781,1.9998,0.353,2.0582,1.9543,-0.104,-7.1e-05,1.7058,0.1814,1.7007,1.722,0.0213,0.000657
pair_0827_nb,False Positive,5600,1.9576,0.4519,1.8556,2.0598,0.2042,0.001741,2.1008,0.2529,2.0703,2.1423,0.0721,0.000901,2.2438,0.5616,2.2054,2.2943,0.0889,0.00204,1.4777,0.2824,1.3999,1.5633,0.1634,0.001939,1.5001,0.2428,1.3001,1.6894,0.3893,0.003145
pair_1824_nb,False Positive,5600,2.8873,0.8424,2.8978,2.7986,-0.0992,-0.000214,2.1283,0.513,2.1771,2.08,-0.097,-0.001183,2.1154,0.6704,1.8819,2.3344,0.4525,0.00381,1.0607,0.2333,1.0399,1.076,0.036,0.000284,1.3967,0.1721,1.3684,1.4075,0.0392,0.000294
pair_1939_nb,False Positive,5600,2.3838,0.5081,2.5518,2.2476,-0.3042,-0.00209,1.3474,0.4468,1.0605,1.6544,0.594,0.005268,2.3653,0.9641,2.2067,2.6044,0.3976,0.003516,1.6906,0.4366,1.5064,1.9149,0.4085,0.003667,1.8099,0.2823,1.6364,2.0041,0.3677,0.003515
pair_0822_nb,False Positive,5600,1.2797,0.4397,1.3368,1.2211,-0.1157,-0.000912,1.8125,0.4894,1.5721,2.0811,0.509,0.003561,2.0951,0.6737,1.9428,2.2392,0.2964,0.002471,1.1149,0.3041,1.0436,1.1685,0.1248,0.000899,1.5466,0.2978,1.3194,1.7629,0.4435,0.004019
pair_0865_nb,False Positive,5600,1.4406,0.5992,1.2543,1.6391,0.3847,0.003405,1.2709,0.4201,1.102,1.456,0.354,0.003866,2.0909,0.7665,2.25,1.9627,-0.2872,-0.003327,0.9715,0.2391,1.0209,0.9215,-0.0995,-0.000777,1.4025,0.2089,1.2451,1.5626,0.3175,0.002336
pair_0867_nb,False Positive,5600,4.6501,1.9858,3.5361,5.8115,2.2753,0.025055,2.8209,0.741,2.3141,3.1901,0.876,0.006516,3.3005,1.1953,2.7536,3.7738,1.0202,0.005294,1.8079,0.3604,1.8373,1.7812,-0.0562,-0.000934,2.4309,0.3484,2.205,2.6361,0.4311,0.004052
pair_1860_nb,False Positive,5600,2.2378,0.7495,2.5059,2.0479,-0.458,-0.005038,1.1084,0.3414,1.0954,1.1396,0.0443,0.000252,2.2859,0.8913,2.5262,1.9962,-0.53,-0.003764,1.1851,0.3769,1.4191,0.9294,-0.4897,-0.003884,1.5172,0.2102,1.5328,1.485,-0.0478,-0.000172
pair_1965_nb,False Positive,5600,3.7243,0.6856,3.8107,3.6454,-0.1653,-0.002067,1.8838,0.3724,1.7681,1.9952,0.2271,0.00277,2.09,0.7322,1.9453,2.2275,0.2822,0.000921,1.5155,0.3363,1.4591,1.5964,0.1373,0.001504,2.0029,0.2278,1.9071,2.0612,0.1541,0.001369
pair_0341_nb,False Positive,5600,1.187,0.3995,1.2946,1.0921,-0.2025,-0.001527,3.6354,0.613,3.3988,3.8761,0.4772,0.003706,2.7337,0.6142,2.5859,2.8985,0.3126,0.003297,1.3522,0.4051,1.1514,1.5494,0.398,0.003318,1.9124,0.2419,1.7644,2.0639,0.2996,0.00225
pair_0450_nb,False Positive,5600,3.4743,0.9303,2.7698,4.0881,1.3183,0.009291,2.4508,0.3923,2.2835,2.6093,0.3258,0.002637,2.1144,0.8737,2.5065,1.7652,-0.7414,-0.0055,1.6258,0.4317,1.5426,1.6932,0.1506,0.000822,1.9835,0.2603,1.8262,2.1165,0.2902,0.001783
pair_0549_nb,False Positive,5600,2.4589,0.8297,1.8228,3.0512,1.2284,0.010217,2.7151,0.612,2.252,3.1471,0.8951,0.00788,1.6765,0.4283,1.6264,1.7324,0.106,0.00013,1.6209,0.2945,1.4352,1.7966,0.3614,0.002436,1.6923,0.2117,1.6699,1.733,0.0632,9.5e-05
pair_0567_nb,False Positive,5600,1.9466,0.6715,2.1697,1.7036,-0.4661,-0.003766,1.7688,0.3807,1.6772,1.879,0.2018,0.001918,2.3576,0.8209,2.7598,1.9893,-0.7706,-0.00605,1.4981,0.2881,1.5522,1.4402,-0.112,-0.000744,1.7246,0.2481,1.772,1.6456,-0.1264,-0.000603
pair_0584_nb,False Positive,5600,2.6733,0.5811,2.694,2.6287,-0.0652,-0.001942,2.3219,0.9973,1.986,2.7258,0.7399,0.008157,3.7636,0.9661,3.9703,3.517,-0.4533,-0.001088,2.1499,0.4886,2.1495,2.1318,-0.0177,0.000915,1.6741,0.166,1.5934,1.7547,0.1614,0.001428
pair_0602_nb,False Positive,5600,2.8991,0.8581,2.4757,3.3509,0.8753,0.006486,3.5854,1.0114,2.9891,4.2395,1.2503,0.010035,2.6389,0.7484,2.4185,2.927,0.5085,0.004264,1.5789,0.4423,1.3503,1.7977,0.4473,0.003027,1.7821,0.2808,1.684,1.9107,0.2267,0.001861
pair_0684_nb,False Positive,5600,2.0045,0.6371,1.9172,2.09,0.1729,0.003368,1.9024,0.4085,1.9288,1.8427,-0.0861,-6.6e-05,2.1081,0.7838,1.9884,2.2899,0.3016,0.000717,1.8656,0.4602,1.8327,1.864,0.0312,0.000208,1.7715,0.1278,1.7761,1.7675,-0.0086,-4.5e-05
pair_0736_nb,False Positive,5600,1.3097,0.4219,1.242,1.4021,0.1601,0.001733,1.92,0.8162,1.5752,2.3321,0.757,0.00797,2.4218,0.8992,2.4773,2.4316,-0.0457,-0.000773,1.2704,0.3352,1.3592,1.1991,-0.1601,-0.001341,1.5644,0.3078,1.3827,1.7732,0.3905,0.003433
pair_0748_nb,False Positive,5600,2.9502,0.5144,2.7197,3.1749,0.4552,0.00449,3.3874,0.4342,3.4878,3.3001,-0.1876,-0.001398,4.6369,1.3073,3.9998,5.1794,1.1796,0.011526,1.3779,0.6264,1.1162,1.6655,0.5494,0.006193,1.9282,0.2321,1.8252,2.0144,0.1892,0.002073
pair_0765_nb,False Positive,5600,2.5159,0.314,2.5127,2.5288,0.0161,-0.000278,1.6962,0.3272,1.6281,1.7641,0.136,0.001374,1.9942,0.6889,1.9119,2.0381,0.1262,0.00092,1.5738,0.5258,1.7051,1.3955,-0.3096,-0.00323,1.6293,0.2484,1.4234,1.8406,0.4172,0.002968
pair_0776_nb,False Positive,5600,2.0902,0.5937,2.3252,1.9016,-0.4236,-0.004324,2.5649,0.6257,2.6903,2.4266,-0.2637,-0.000906,2.0681,0.6169,2.2901,1.8271,-0.463,-0.003995,1.5542,0.3441,1.6833,1.4049,-0.2784,-0.001876,1.5796,0.1704,1.6529,1.4991,-0.1538,-0.000649
pair_0782_nb,False Positive,5600,1.5988,0.5621,1.5572,1.6448,0.0875,0.000883,3.8428,1.0442,3.2563,4.5735,1.3172,0.009959,2.9031,0.9976,2.841,2.9993,0.1583,0.003436,1.5831,0.4819,1.3835,1.8029,0.4194,0.003562,1.6826,0.2325,1.5305,1.8355,0.305,0.002534
pair_0811_nb,False Positive,5600,1.6433,0.48,1.8453,1.4311,-0.4142,-0.00235,2.6575,0.8704,2.7757,2.4873,-0.2885,0.001885,2.4677,0.9392,2.76,2.1364,-0.6236,-0.002216,1.4455,0.3606,1.3083,1.5813,0.2731,0.002903,2.2478,0.2763,2.2521,2.2419,-0.0102,0.000213
pair_0868_nb,False Positive,5600,1.2752,0.3155,1.3293,1.223,-0.1064,-0.000736,1.3104,0.1965,1.3509,1.2669,-0.0839,-0.000685,3.5008,0.8827,3.6121,3.3764,-0.2357,-0.000758,2.9635,0.4235,3.0106,2.9152,-0.0954,-0.000948,1.796,0.2066,1.7868,1.8084,0.0216,0.00029
